company_id,contributor_id
20,5001
20,4881
20,5002
20,4824
20,5003
20,5004
20,5005
20,5006
20,4827
20,4816
20,4905
20,4879
20,5007
20,5008
20,4807
20,5009
20,5010
20,5011
20,5012
21,5013
21,5014
21,5015
21,5016
21,5017
21,5018
21,5019
21,5020
21,5021
21,5022
21,5023
21,5024
21,5025
21,5026
21,5027
21,5028
21,5029
21,5030
21,5031
21,5032
21,5033
21,5034
21,5035
21,5036
21,5037
21,5038
21,5039
21,5040
21,5041
21,5042
22,5357
22,5252
22,5136
22,5183
22,5272
22,5113
22,5376
22,5071
22,5114
22,5096
22,5117
22,5296
22,5374
22,5402
22,5049
22,2008
22,2697
22,812
22,5116
22,5355
22,5403
22,5167
22,5076
22,5141
22,5140
22,5059
22,5119
22,5046
22,5086
22,5165
24,5629
24,850
24,5585
24,4701
24,5587
24,5645
24,5692
24,5697
24,5632
24,5710
24,5631
24,5791
24,1232
24,5583
24,5779
24,5712
24,5627
24,5591
24,5653
24,5598
24,5929
24,5930
24,5716
24,5582
24,5707
25,5932
25,5931
25,5933
25,5946
25,6047
25,6012
25,6013
25,5963
25,5941
25,5937
25,2109
25,6048
25,5938
25,5934
26,6106
26,6107
26,6108
26,6109
26,6110
26,6111
26,6051
26,6112
26,6113
26,6114
26,6085
26,6115
26,6116
26,6117
26,6118
26,6119
26,6120
26,6121
26,6122
26,6123
26,6124
26,6125
26,6126
26,6127
26,6128
26,6058
26,6129
26,6130
26,6080
26,6131
27,6236
27,6196
27,6274
27,6313
27,6314
27,2718
27,6181
27,6315
27,6316
27,6317
27,6190
27,6318
27,6319
27,6251
27,6320
27,6237
27,801
27,6263
27,6321
27,6322
27,6323
27,6170
27,6298
27,6161
27,6324
27,6325
27,6176
27,6167
27,6183
27,2037
28,6331
28,1587
28,1592
28,2255
28,6506
28,6457
28,1598
28,6369
28,1601
28,1604
28,1188
28,858
28,6339
28,6483
28,6421
28,6507
28,6508
28,6509
28,6510
28,1178
28,6511
28,6335
28,6512
28,6384
28,6513
28,6338
28,6514
28,6343
28,1353
28,6341
29,6714
29,6715
29,6716
29,6578
29,3461
29,6634
29,6717
29,6718
29,6524
29,6719
29,6720
29,6534
29,6620
29,6721
29,6722
29,6723
29,6667
29,6648
29,6724
29,6725
29,6726
29,6577
29,6602
29,4613
29,6545
29,6662
29,6727
29,6728
29,6729
29,6527
30,6954
30,6955
30,6956
30,6742
30,6755
30,6371
30,6734
30,6957
30,6733
30,6958
30,6730
30,6739
30,5108
30,6743
31,7129
31,7085
31,6961
31,4954
31,7007
31,7015
31,7130
31,7016
31,2008
31,6959
31,7049
31,7009
31,7131
31,7132
31,7133
31,3585
31,7134
31,6992
31,7006
31,6970
31,6973
31,7135
31,7136
31,3697
32,4460
32,4314
32,7206
32,4120
33,7270
33,7345
33,7346
33,7347
33,7210
33,1298
33,7348
33,7325
33,7343
33,7349
34,7478
34,7458
34,7385
34,6313
34,7374
34,7623
34,7662
34,7663
34,7664
34,7665
34,7465
34,2890
34,7490
34,7418
34,7350
34,7666
34,7667
34,7399
34,7668
34,1943
34,7669
34,7439
34,7509
34,7670
34,7556
34,7463
34,7621
34,7527
34,7671
34,7352
35,2214
35,1974
35,2213
35,7971
35,2260
35,7703
35,1943
35,7705
35,7925
35,1928
35,7972
35,1981
35,7722
35,1918
35,6923
35,735
35,2332
35,2913
35,7673
35,7672
35,802
36,8012
36,8024
36,8343
36,7974
36,7985
36,7976
36,8155
36,7973
36,7991
36,8023
37,2033
37,2040
37,2017
37,2041
37,8378
37,8362
37,2018
37,2038
37,2046
38,8379
38,8380
39,8514
39,8550
39,8517
39,8549
39,8551
39,8552
39,8450
39,8553
39,8554
39,8430
39,8474
39,1255
39,1483
39,8555
39,8556
39,8548
39,8427
39,8557
39,8558
40,8560
40,8572
40,8562
40,8559
41,8663
41,9020
41,8646
41,9021
41,8645
41,8705
41,6792
41,8704
41,8637
41,6843
41,8659
41,6867
41,6842
41,8681
41,8680
41,8706
41,9022
41,8670
41,9023
41,8841
41,9017
41,9024
41,9025
41,6847
41,8784
41,8826
41,6845
41,6804
41,8624
41,8781
42,9135
42,9212
42,6181
42,9171
42,9027
42,9034
42,9213
42,9032
42,9036
42,9026
42,9042
43,9454
43,9455
43,9244
43,9456
43,9457
43,9286
43,9458
43,9459
43,9460
43,9461
43,9462
43,9463
43,9464
43,9465
43,9466
43,9467
43,9357
43,9468
43,9469
43,9301
43,9470
43,9277
43,9471
43,9472
43,9473
43,9474
43,9221
43,9475
43,3412
43,9476
44,9484
44,9502
44,9479
45,228
45,9624
45,2069
45,2222
45,2008
45,2396
45,9832
45,9607
45,7972
45,379
45,213
45,9645
45,9730
45,9632
45,9614
45,9654
45,2876
45,2438
45,9621
45,2332
45,9631
45,2439
45,6017
45,2347
46,1935
46,2221
46,9836
46,2909
46,1112
46,9837
46,9855
46,9856
47,9872
47,9870
47,9894
47,9900
47,9876
48,9918
48,9904
48,10018
48,1188
