company_id	contributor_id
20	5003
20	4882
20	5004
20	4825
20	5005
20	5006
20	5007
20	5008
20	4828
20	4817
20	4906
20	4880
20	5009
20	5010
20	4808
20	5011
20	5012
20	5013
20	5014
21	5015
21	5016
21	5017
21	5018
21	5019
21	5020
21	5021
21	5022
21	5023
21	5024
21	5025
21	5026
21	5027
21	5028
21	5029
21	5030
21	5031
21	5032
21	5033
21	5034
21	5035
21	5036
21	5037
21	5038
21	5039
21	5040
21	5041
21	5042
21	5043
21	5044
22	5358
22	5253
22	5138
22	5185
22	5273
22	5115
22	5377
22	5073
22	5116
22	5097
22	5119
22	5297
22	5375
22	5403
22	5051
22	2011
22	2698
22	813
22	5118
22	5356
22	5404
22	5169
22	5078
22	5143
22	5142
22	5061
22	5121
22	5048
22	5088
22	5167
24	5630
24	851
24	5586
24	4703
24	5588
24	5646
24	5692
24	5697
24	5633
24	5710
24	5632
24	5791
24	1234
24	5584
24	5779
24	5712
24	5628
24	5592
24	5653
24	5599
24	5930
24	5931
24	5716
24	5583
24	5707
25	5933
25	5932
25	5934
25	5947
25	6048
25	6013
25	6014
25	5964
25	5942
25	5938
25	2111
25	6049
25	5939
25	5935
26	6107
26	6108
26	6109
26	6110
26	6111
26	6112
26	6052
26	6113
26	6114
26	6115
26	6086
26	6116
26	6117
26	6118
26	6119
26	6120
26	6121
26	6122
26	6123
26	6124
26	6125
26	6126
26	6127
26	6128
26	6129
26	6059
26	6130
26	6131
26	6081
26	6132
27	6237
27	6197
27	6275
27	6314
27	6315
27	2719
27	6182
27	6316
27	6317
27	6318
27	6191
27	6319
27	6320
27	6252
27	6321
27	6238
27	802
27	6264
27	6322
27	6323
27	6324
27	6171
27	6299
27	6162
27	6325
27	6326
27	6177
27	6168
27	6184
27	2040
28	6332
28	1589
28	1594
28	2257
28	6507
28	6459
28	1600
28	6369
28	1603
28	1606
28	1191
28	859
28	6340
28	6484
28	6422
28	6508
28	6509
28	6510
28	6511
28	1180
28	6512
28	6336
28	6513
28	6385
28	6514
28	6339
28	6515
28	6344
28	1355
28	6342
29	6715
29	6716
29	6717
29	6579
29	3463
29	6635
29	6718
29	6719
29	6525
29	6720
29	6721
29	6535
29	6621
29	6722
29	6723
29	6724
29	6668
29	6649
29	6725
29	6726
29	6727
29	6578
29	6603
29	4614
29	6546
29	6663
29	6728
29	6729
29	6730
29	6528
30	6955
30	6956
30	6957
30	6743
30	6756
30	6371
30	6735
30	6958
30	6734
30	6959
30	6731
30	6740
30	5110
30	6744
31	7130
31	7086
31	6962
31	4955
31	7008
31	7016
31	7131
31	7017
31	2011
31	6960
31	7050
31	7010
31	7132
31	7133
31	7134
31	3587
31	7135
31	6993
31	7007
31	6971
31	6974
31	7136
31	7137
31	3699
32	4461
32	4315
32	7207
32	4122
33	7271
33	7346
33	7347
33	7348
33	7211
33	1300
33	7349
33	7326
33	7344
33	7350
34	7479
34	7459
34	7386
34	6314
34	7375
34	7624
34	7663
34	7664
34	7665
34	7666
34	7466
34	2892
34	7491
34	7419
34	7351
34	7667
34	7668
34	7400
34	7669
34	1945
34	7670
34	7440
34	7510
34	7671
34	7557
34	7464
34	7622
34	7528
34	7672
34	7353
35	2216
35	1976
35	2215
35	7973
35	2262
35	7704
35	1945
35	7706
35	7927
35	1930
35	7974
35	1984
35	7723
35	1920
35	6924
35	736
35	1982
35	2915
35	7674
35	7673
35	803
36	8014
36	8022
36	8346
36	7976
36	7987
36	7978
36	8158
36	7975
36	7993
36	8026
37	2036
37	2043
37	2020
37	2044
37	8381
37	8365
37	2021
37	2041
37	2049
38	8382
38	8383
39	8517
39	8552
39	8520
39	8551
39	8553
39	8554
39	8453
39	8555
39	8556
39	8433
39	8477
39	1257
39	1484
39	8557
39	8558
39	8550
39	8430
39	8559
39	8560
40	8562
40	8574
40	8564
40	8561
41	8666
41	9023
41	8649
41	9024
41	8648
41	8708
41	6793
41	8707
41	8640
41	6844
41	8662
41	6868
41	6843
41	8684
41	8683
41	8709
41	9025
41	8673
41	9026
41	8844
41	9020
41	9027
41	9028
41	6848
41	8787
41	8829
41	6846
41	6805
41	8627
41	8784
42	9138
42	9215
42	6182
42	9174
42	9030
42	9037
42	9216
42	9035
42	9039
42	9029
42	9045
43	9458
43	9459
43	9247
43	9460
43	9461
43	9289
43	9462
43	9463
43	9464
43	9465
43	9466
43	9467
43	9468
43	9469
43	9470
43	9471
43	9361
43	9472
43	9473
43	9304
43	9474
43	9280
43	9475
43	9476
43	9477
43	9478
43	9224
43	9479
43	3414
43	9480
44	9488
44	9506
44	9483
45	228
45	9628
45	2071
45	2224
45	2011
45	2399
45	9835
45	9611
45	7974
45	379
45	213
45	9649
45	9734
45	9636
45	9618
45	9658
45	2878
45	2439
45	9625
45	1982
45	9635
45	2440
45	6019
45	2349
46	1937
46	2223
46	9839
46	2911
46	1114
46	9840
46	9858
46	9859
47	9875
47	9873
47	9897
47	9903
47	9879
48	9921
48	9907
48	10021
48	1191
